id,pop,city,state,loc
1339,1325,HAWLEY,MA,"['-72.880162', ' 42.621802']"
1340,2050,COLRAIN,MA,"['-72.726508', ' 42.67905']"
1341,1524,CONWAY,MA,"['-72.702473', ' 42.513832']"
1342,1281,DEERFIELD,MA,"['-72.607234', ' 42.540636']"
1344,635,ERVING,MA,"['-72.416638', ' 42.604957']"
1346,174,HEATH,MA,"['-72.839101', ' 42.685347']"
1349,1893,MILLERS FALLS,MA,"['-72.494626', ' 42.576206']"
1350,97,MONROE,MA,"['-72.960156', ' 42.723885']"
1351,1699,MONTAGUE,MA,"['-72.532837', ' 42.542864']"
1355,456,NEW SALEM,MA,"['-72.306241', ' 42.514643']"
1360,2829,NORTHFIELD,MA,"['-72.450995', ' 42.688705']"
1364,8544,NEW SALEM,MA,"['-72.305867', ' 42.591231']"
1366,1131,PETERSHAM,MA,"['-72.189349', ' 42.489761']"
1367,630,ROWE,MA,"['-72.925776', ' 42.695289']"
1370,4525,SHELBURNE FALLS,MA,"['-72.739059', ' 42.602203']"
1373,5118,SOUTH DEERFIELD,MA,"['-72.615268', ' 42.475616']"
1375,3399,SUNDERLAND,MA,"['-72.567569', ' 42.453947']"
1376,7100,TURNERS FALLS,MA,"['-72.54701', ' 42.606521']"
1379,393,WENDELL,MA,"['-72.400851', ' 42.565644']"
1420,41194,FITCHBURG,MA,"['-71.803133', ' 42.579563']"
1430,5433,ASHBURNHAM,MA,"['-71.92666', ' 42.649614']"
1431,2649,ASHBY,MA,"['-71.817369', ' 42.674462']"
1432,6871,AYER,MA,"['-71.578763', ' 42.55914']"
1433,8480,FT DEVENS,MA,"['-71.621819', ' 42.532416']"
1436,4386,BALDWINVILLE,MA,"['-72.064647', ' 42.593568']"
1440,20125,GARDNER,MA,"['-71.9898', ' 42.57405']"
1450,7504,GROTON,MA,"['-71.558371', ' 42.612351']"
1451,4445,HARVARD,MA,"['-71.575293', ' 42.498565']"
1452,2797,HUBBARDSTON,MA,"['-72.001159', ' 42.486538']"
1453,38145,LEOMINSTER,MA,"['-71.756308', ' 42.52744']"
1460,7066,LITTLETON,MA,"['-71.487667', ' 42.540132']"
1462,9117,LUNENBURG,MA,"['-71.726642', ' 42.58843']"
1463,10178,PEPPERELL,MA,"['-71.593392', ' 42.668888']"
1464,6118,SHIRLEY CENTER,MA,"['-71.646444', ' 42.558653']"
1468,2058,TEMPLETON,MA,"['-72.064971', ' 42.545976']"
1469,6112,TOWNSEND,MA,"['-71.689646', ' 42.652511']"
1473,6191,WESTMINSTER,MA,"['-71.909599', ' 42.548319']"
1474,2452,W TOWNSEND,MA,"['-71.74057', ' 42.670404']"
1475,8805,WINCHENDON,MA,"['-72.047524', ' 42.678943']"
1501,15007,AUBURN,MA,"['-71.839144', ' 42.205502']"
1503,2293,BERLIN,MA,"['-71.635634', ' 42.384438']"
1504,8023,BLACKSTONE,MA,"['-71.52691', ' 42.028708']"
1505,3517,BOYLSTON,MA,"['-71.731042', ' 42.337727']"
1506,2968,BROOKFIELD,MA,"['-72.098887', ' 42.199141']"
1507,9576,CHARLTON,MA,"['-71.966384', ' 42.137902']"
1510,13269,CLINTON,MA,"['-71.682847', ' 42.418147']"
1515,2033,EAST BROOKFIELD,MA,"['-72.048078', ' 42.219308']"
1516,5594,EAST DOUGLAS,MA,"['-71.726611', ' 42.060566']"
1518,774,FISKDALE,MA,"['-72.117764', ' 42.122762']"
1519,4910,GRAFTON,MA,"['-71.686848', ' 42.200371']"
1520,12051,HOLDEN,MA,"['-71.84142', ' 42.341983']"
1521,747,HOLLAND,MA,"['-72.154373', ' 42.040264']"
1522,2478,JEFFERSON,MA,"['-71.87058', ' 42.375519']"
1523,6018,LANCASTER,MA,"['-71.686831', ' 42.450984']"
1524,6527,LEICESTER,MA,"['-71.918829', ' 42.237047']"
1527,12228,MILLBURY,MA,"['-71.764438', ' 42.196779']"
1529,2236,MILLVILLE,MA,"['-71.579813', ' 42.033102']"
1531,881,NEW BRAINTREE,MA,"['-72.130642', ' 42.31977']"
1532,11930,NORTHBOROUGH,MA,"['-71.646372', ' 42.318242']"
1534,4564,NORTHBRIDGE,MA,"['-71.656366', ' 42.1494']"
1535,4755,NORTH BROOKFIELD,MA,"['-72.082129', ' 42.266455']"
1536,5401,NORTH GRAFTON,MA,"['-71.703691', ' 42.229726']"
1537,3031,NORTH OXFORD,MA,"['-71.885953', ' 42.16549']"
1540,9557,OXFORD,MA,"['-71.868677', ' 42.11285']"
1541,3189,PRINCETON,MA,"['-71.876245', ' 42.450812']"
1542,1154,ROCHDALE,MA,"['-71.906882', ' 42.199685']"
1543,4936,RUTLAND,MA,"['-71.948951', ' 42.376199']"
1545,24146,SHREWSBURY,MA,"['-71.720503', ' 42.284801']"
1550,17816,SOUTHBRIDGE,MA,"['-72.035347', ' 42.075024']"
1560,2719,SOUTH GRAFTON,MA,"['-71.692725', ' 42.176042']"
1562,11598,SPENCER,MA,"['-71.990617', ' 42.244103']"
1564,6481,STERLING,MA,"['-71.775192', ' 42.435351']"
1566,7001,STURBRIDGE,MA,"['-72.084233', ' 42.112619']"
1568,4682,WEST UPTON,MA,"['-71.608014', ' 42.173275']"
1569,10364,UXBRIDGE,MA,"['-71.632869', ' 42.074426']"
1570,3735,DUDLEY HILL,MA,"['-71.839467', ' 42.047574']"
1571,22001,DUDLEY,MA,"['-71.893228', ' 42.048894']"
1581,14132,WESTBOROUGH,MA,"['-71.617604', ' 42.267891']"
1583,6611,WEST BOYLSTON,MA,"['-71.783822', ' 42.35836']"
1585,3528,WEST BROOKFIELD,MA,"['-72.151137', ' 42.244137']"
1588,8807,WHITINSVILLE,MA,"['-71.664357', ' 42.115319']"
1590,6719,WILKINSONVILLE,MA,"['-71.748416', ' 42.140586']"
1602,19988,WORCESTER,MA,"['-71.841678', ' 42.270251']"
1603,18605,WORCESTER,MA,"['-71.837995', ' 42.245033']"
1604,29036,WORCESTER,MA,"['-71.774626', ' 42.254084']"
